# GD50  03:48:50.06 -00:58:30.4  (type DA2)
 2094.06   12.439   2.01
 2096.07   12.428   1.80
 2097.87   12.536   1.80
 2099.67   12.648   2.00
 2101.67   12.549   1.80
 2103.47   12.583   2.00
 2105.47   12.585   1.80
 2107.27   12.727   1.80
 2109.07   12.713   2.00
 2111.07   12.455   1.80
 2112.87   12.426   1.80
 2114.67   12.579   2.00
 2116.67   12.503   1.80
 2118.47   12.583   1.80
 2120.27   12.572   2.00
 2122.27   12.520   1.80
 2124.07   12.561   1.80
 2125.87   12.578   2.00
 2127.87   12.503   1.80
 2129.67   12.569   1.80
 2131.47   12.625   2.00
 2133.47   12.716   1.80
 2135.27   12.670   1.80
 2137.07   12.627   2.00
 2139.07   12.600   1.81
 2140.88   12.704   1.80
 2142.68   12.629   2.00
 2144.68   12.465   1.80
 2146.48   12.509   1.80
 2148.28   12.531   2.00
 2150.28   12.540   1.80
 2152.08   12.588   2.00
 2154.08   12.550   1.80
 2155.88   12.551   1.80
 2157.68   12.650   2.00
 2159.68   12.663   1.80
 2161.48   12.648   1.80
 2163.28   12.633   2.00
 2165.28   12.546   1.80
 2167.08   12.680   1.80
 2168.88   12.744   2.00
 2170.88   12.543   1.80
 2172.68   12.573   1.80
 2174.48   12.642   2.00
 2176.48   12.664   1.80
 2178.28   12.711   1.80
 2180.08   12.760   2.00
 2182.08   12.764   1.80
 2183.88   12.636   1.80
 2185.68   12.522   2.00
 2187.68   12.603   1.81
 2189.49   12.763   1.80
 2191.29   12.824   2.00
 2193.29   12.739   1.80
 2195.09   12.688   1.80
 2196.89   12.680   2.00
 2198.89   12.558   1.80
 2200.69   12.570   2.00
 2202.69   12.586   1.80
 2204.49   12.576   1.80
 2206.29   12.571   2.00
 2208.29   12.714   1.80
 2210.09   12.750   1.80
 2211.89   12.730   2.00
 2213.89   12.665   1.80
 2215.69   12.604   1.80
 2217.49   12.553   2.00
 2219.49   12.650   1.80
 2221.29   12.599   1.80
 2223.09   12.605   2.00
 2225.09   12.580   1.80
 2226.89   12.588   1.80
 2228.69   12.627   2.00
 2230.69   12.627   1.80
 2232.49   12.671   1.80
 2234.29   12.728   2.00
 2236.29   12.747   1.80
 2238.09   12.667   1.81
 2239.90   12.643   2.00
 2241.90   12.699   1.80
 2243.70   12.862   2.00
 2245.70   12.763   1.80
 2247.50   12.601   1.80
 2249.30   12.540   2.00
 2251.30   12.671   1.80
 2253.10   12.708   1.80
 2254.90   12.566   2.00
 2256.90   12.579   1.80
 2258.70   12.674   1.80
 2260.50   12.761   2.00
 2262.50   12.724   1.80
 2264.30   12.583   1.80
 2266.10   12.595   2.00
 2268.10   12.748   1.80
 2269.90   12.794   1.80
 2271.70   12.780   2.00
 2273.70   12.691   1.80
 2275.50   12.565   1.80
 2277.30   12.631   2.00
 2279.30   12.795   1.80
 2281.10   12.758   1.81
 2282.91   12.695   2.00
 2284.91   12.749   1.80
 2286.71   12.720   1.80
 2288.51   12.765   2.00
 2290.51   12.766   1.80
 2292.31   12.736   2.00
 2294.31   12.681   1.80
 2296.11   12.647   1.80
 2297.91   12.659   2.00
 2299.91   12.725   1.80
 2301.71   12.770   1.80
 2303.51   12.782   2.00
 2305.51   12.784   1.80
 2307.31   12.756   1.80
 2309.11   12.671   2.00
 2311.11   12.651   1.80
 2312.91   12.794   1.80
 2314.71   12.690   2.00
 2316.71   12.661   1.80
 2318.51   12.772   1.80
 2320.31   12.767   2.00
 2322.31   12.656   1.80
 2324.11   12.666   1.80
 2325.91   12.694   2.01
 2327.92   12.665   1.80
